,date,code_insee_region,region,tmin,tmax,tmoy,annee,mois
21645,2021-01-26,44,Grand Est,-1.92,4.12,1.1,2021,1
21646,2021-01-26,24,Centre-Val de Loire,-4.05,3.45,-0.3,2021,1
21647,2021-01-26,76,Occitanie,-1.16,8.75,3.8,2021,1
21648,2021-01-27,27,Bourgogne-Franche-Comté,-0.22,8.0,3.89,2021,1
21649,2021-01-27,53,Bretagne,7.38,12.3,9.84,2021,1
21650,2021-01-27,44,Grand Est,-0.1,6.17,3.04,2021,1
21651,2021-01-27,28,Normandie,2.34,11.18,6.76,2021,1
21652,2021-01-28,28,Normandie,8.72,12.9,10.81,2021,1
21653,2021-01-28,53,Bretagne,11.4,13.08,12.24,2021,1
21654,2021-01-28,27,Bourgogne-Franche-Comté,4.77,12.83,8.8,2021,1
21655,2021-01-28,24,Centre-Val de Loire,8.75,13.6,11.18,2021,1
21656,2021-01-29,27,Bourgogne-Franche-Comté,8.92,12.37,10.64,2021,1
21657,2021-01-29,24,Centre-Val de Loire,9.07,12.98,11.02,2021,1
21658,2021-01-29,32,Hauts-de-France,8.52,10.32,9.42,2021,1
21659,2021-01-30,52,Pays de la Loire,9.5,12.4,10.95,2021,1
21660,2021-01-30,75,Nouvelle-Aquitaine,9.5,12.85,11.18,2021,1
21661,2021-01-30,27,Bourgogne-Franche-Comté,6.48,9.57,8.02,2021,1
21662,2021-01-31,84,Auvergne-Rhône-Alpes,3.93,11.92,7.92,2021,1
21663,2021-01-31,24,Centre-Val de Loire,7.77,10.82,9.29,2021,1
21664,2021-01-31,76,Occitanie,6.95,13.71,10.33,2021,1
21665,2021-01-31,27,Bourgogne-Franche-Comté,6.35,10.18,8.27,2021,1
21666,2021-02-01,53,Bretagne,9.52,12.6,11.06,2021,2
21667,2021-02-01,24,Centre-Val de Loire,8.92,12.13,10.52,2021,2
21668,2021-02-01,84,Auvergne-Rhône-Alpes,7.16,10.16,8.66,2021,2
21669,2021-02-01,52,Pays de la Loire,10.0,12.6,11.3,2021,2
21670,2021-02-02,11,Île-de-France,6.18,14.64,10.41,2021,2
21671,2021-02-02,28,Normandie,6.6,13.88,10.24,2021,2
21672,2021-02-02,75,Nouvelle-Aquitaine,9.51,16.49,13.0,2021,2
21673,2021-02-03,84,Auvergne-Rhône-Alpes,8.38,13.89,11.14,2021,2
21674,2021-02-03,76,Occitanie,7.0,16.72,11.86,2021,2
21675,2021-02-04,94,Corse,7.6,18.15,12.88,2021,2
21676,2021-02-04,93,Provence-Alpes-Côte d'Azur,6.35,14.22,10.28,2021,2
21677,2021-02-05,27,Bourgogne-Franche-Comté,6.6,12.02,9.31,2021,2
21678,2021-02-06,94,Corse,9.1,18.55,13.82,2021,2
21679,2021-02-06,53,Bretagne,2.15,9.67,5.91,2021,2
21680,2021-02-06,28,Normandie,4.48,8.18,6.33,2021,2
21681,2021-02-06,75,Nouvelle-Aquitaine,8.58,10.12,9.35,2021,2
21682,2021-02-07,44,Grand Est,2.41,6.05,4.23,2021,2
21683,2020-06-05,28,Normandie,10.4,16.62,13.51,2020,6
21684,2021-02-07,94,Corse,10.85,15.65,13.25,2021,2
21685,2020-06-05,94,Corse,17.25,24.45,20.85,2020,6
21686,2021-02-07,53,Bretagne,1.25,7.0,4.12,2021,2
21687,2020-06-05,76,Occitanie,12.94,20.13,16.53,2020,6
21688,2021-02-08,76,Occitanie,4.27,9.58,6.93,2021,2
21689,2020-06-07,52,Pays de la Loire,5.9,20.65,13.28,2020,6
21690,2021-02-08,53,Bretagne,1.3,3.72,2.51,2021,2
21691,2020-06-07,93,Provence-Alpes-Côte d'Azur,15.35,22.47,18.91,2020,6
21692,2021-02-09,24,Centre-Val de Loire,-0.42,2.4,0.99,2021,2
21693,2020-06-07,27,Bourgogne-Franche-Comté,9.33,19.47,14.4,2020,6
21694,2021-02-09,76,Occitanie,4.89,12.25,8.57,2021,2
21695,2020-06-08,53,Bretagne,10.12,19.38,14.75,2020,6
21696,2021-02-09,75,Nouvelle-Aquitaine,3.04,9.91,6.48,2021,2
21697,2020-06-09,75,Nouvelle-Aquitaine,11.22,20.35,15.79,2020,6
21698,2021-02-10,94,Corse,8.65,17.65,13.15,2021,2
21699,2020-06-09,32,Hauts-de-France,8.68,16.92,12.8,2020,6
21700,2021-02-10,76,Occitanie,2.88,11.49,7.19,2021,2
21701,2020-06-10,84,Auvergne-Rhône-Alpes,10.49,17.82,14.15,2020,6
